          91 12474.320469      5       2 + e X1Sigma+     6  0       0       0
          92 14459.568738      5       2 + e X1Sigma+     7  0       0       0
          93 16418.757725      5       2 + e X1Sigma+     8  0       0       0
          94 18351.963457      5       2 + e X1Sigma+     9  0       0       0
          95 20259.263505      5       2 + e X1Sigma+    10  0       0       0
          96 22140.736897      5       2 + e X1Sigma+    11  0       0       0
          97 23996.464009      5       2 + e X1Sigma+    12  0       0       0
          98 25826.526431      5       2 + e X1Sigma+    13  0       0       0
          99 27631.006818      5       2 + e X1Sigma+    14  0       0       0
         100 29409.988715      5       2 + e X1Sigma+    15  0       0       0
         101 31163.556361      5       2 + e X1Sigma+    16  0       0       0
         102 32891.794468      5       2 + e X1Sigma+    17  0       0       0
         103 34594.787980      5       2 + e X1Sigma+    18  0       0       0
         104 36272.621800      5       2 + e X1Sigma+    19  0       0       0
         105 37925.380505      5       2 + e X1Sigma+    20  0       0       0
         106 39553.148027      5       2 + e X1Sigma+    21  0       0       0
         107 41156.007312      5       2 + e X1Sigma+    22  0       0       0
         108 42734.039961      5       2 + e X1Sigma+    23  0       0       0
         109 44287.325839      5       2 + e X1Sigma+    24  0       0       0
         110 45815.942663      5       2 + e X1Sigma+    25  0       0       0
         111 47319.965565      5       2 + e X1Sigma+    26  0       0       0
         112 48799.466629      5       2 + e X1Sigma+    27  0       0       0
         113 50254.514398      5       2 + e X1Sigma+    28  0       0       0
         114 51685.173353      5       2 + e X1Sigma+    29  0       0       0
         115 53091.503364      5       2 + e X1Sigma+    30  0       0       0
         116 54473.559101      5       2 + e X1Sigma+    31  0       0       0
         117 55831.389415      5       2 + e X1Sigma+    32  0       0       0
         118 57165.036678      5       2 + e X1Sigma+    33  0       0       0
         119 58474.536078      5       2 + e X1Sigma+    34  0       0       0
         120 59759.914881      5       2 + e X1Sigma+    35  0       0       0
         121 61021.191632      5       2 + e X1Sigma+    36  0       0       0
         122 62258.375322      5       2 + e X1Sigma+    37  0       0       0
         123 63471.464510      5       2 + e X1Sigma+    38  0       0       0
         124 64660.446444      5       2 + e X1Sigma+    39  0       0       0
         125 65825.296447      5       2 + e X1Sigma+    40  0       0       0
         126 66965.980517      5       2 + e X1Sigma+    41  0       0       0
         127    23.073271      7       3 - e X1Sigma+     0  0       0       0
         128  2166.075772      7       3 - e X1Sigma+     1  0       0       0
         129  4282.597888      7       3 - e X1Sigma+     2  0       0       0
         130  6372.705570      7       3 - e X1Sigma+     3  0       0       0
         131  8436.466447      7       3 - e X1Sigma+     4  0       0       0
         132 10473.949851      7       3 - e X1Sigma+     5  0       0       0
         133 12485.226830      7       3 - e X1Sigma+     6  0       0       0
         134 14470.370129      7       3 - e X1Sigma+     7  0       0       0
         135 16429.454160      7       3 - e X1Sigma+     8  0       0       0
         136 18362.554951      7       3 - e X1Sigma+     9  0       0       0
         137 20269.750076      7       3 - e X1Sigma+    10  0       0       0
         138 22151.118564      7       3 - e X1Sigma+    11  0       0       0
         139 24006.740792      7       3 - e X1Sigma+    12  0       0       0
         140 25836.698350      7       3 - e X1Sigma+    13  0       0       0
         141 27641.073893      7       3 - e X1Sigma+    14  0       0       0
         142 29419.950968      7       3 - e X1Sigma+    15  0       0       0
         143 31173.413812      7       3 - e X1Sigma+    16  0       0       0
         144 32901.547137      7       3 - e X1Sigma+    17  0       0       0
         145 34604.435884      7       3 - e X1Sigma+    18  0       0       0
         146 36282.164954      7       3 - e X1Sigma+    19  0       0       0
         147 37934.818921      7       3 - e X1Sigma+    20  0       0       0
         148 39562.481710      7       3 - e X1Sigma+    21  0       0       0
         149 41165.236264      7       3 - e X1Sigma+    22  0       0       0
         150 42743.164175      7       3 - e X1Sigma+    23  0       0       0
         151 44296.345300      7       3 - e X1Sigma+    24  0       0       0
         152 45824.857346      7       3 - e X1Sigma+    25  0       0       0
         153 47328.775433      7       3 - e X1Sigma+    26  0       0       0
         154 48808.171630      7       3 - e X1Sigma+    27  0       0       0
         155 50263.114466      7       3 - e X1Sigma+    28  0       0       0
         156 51693.668404      7       3 - e X1Sigma+    29  0       0       0
         157 53099.893293      7       3 - e X1Sigma+    30  0       0       0
         158 54481.843779      7       3 - e X1Sigma+    31  0       0       0
         159 55839.568688      7       3 - e X1Sigma+    32  0       0       0
         160 57173.110362      7       3 - e X1Sigma+    33  0       0       0
         161 58482.503959      7       3 - e X1Sigma+    34  0       0       0
         162 59767.776709      7       3 - e X1Sigma+    35  0       0       0
